"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número Desde";"Número Hasta";"Cód. Autorización";"Tipo Doc. Receptor";"Nro. Doc. Receptor";"Denominación Receptor";"Tipo Cambio";"Moneda";"Imp. Neto Gravado IVA 0%";"IVA 2,5%";"Imp. Neto Gravado IVA 2,5%";"IVA 5%";"Imp. Neto Gravado IVA 5%";"IVA 10,5%";"Imp. Neto Gravado IVA 10,5%";"IVA 21%";"Imp. Neto Gravado IVA 21%";"IVA 27%";"Imp. Neto Gravado IVA 27%";"Imp. Neto Gravado Total";"Imp. Neto No Gravado";"Imp. Op. Exentas";"Otros Tributos";"Total IVA";"Imp. Total"
2025-10-01;1;8;1572;1572;75400147396642;80;30531967093;EUROFARMA ARGENTINA S.A.;1,00;$;;;;;;;;28323,97;134876,03;;;134876,03;0,00;0,00;0,00;28323,97;163200,00
2025-10-01;6;8;131065;131065;75400176780174;99;0;;1,00;$;;;;;;;;1561,98;7438,02;;;7438,02;0,00;0,00;0,00;1561,98;9000,00
2025-10-01;6;8;131077;131077;75400187325881;99;0;;1,00;$;;;;;;;;937,19;4462,81;;;4462,81;0,00;0,00;0,00;937,19;5400,00
2025-10-01;6;8;131027;131027;75400122215637;99;0;;1,00;$;;;;;;;;2013,22;9586,78;;;9586,78;0,00;0,00;0,00;2013,22;11600,00
2025-10-01;6;8;131070;131070;75400183985196;99;0;;1,00;$;;;;;;;;4581,82;21818,18;;;21818,18;0,00;0,00;0,00;4581,82;26400,00
2025-10-01;6;8;131060;131060;75400173491247;99;0;;1,00;$;;;;;;;;2082,64;9917,36;;;9917,36;0,00;0,00;0,00;2082,64;12000,00
2025-10-01;6;8;131042;131042;75400152696622;99;0;;1,00;$;;;;;;;;694,21;3305,79;;;3305,79;0,00;0,00;0,00;694,21;4000,00
2025-10-01;6;8;131056;131056;75400170037927;99;0;;1,00;$;;;;;;;;2082,64;9917,36;;;9917,36;0,00;0,00;0,00;2082,64;12000,00
2025-10-01;6;8;131088;131088;75400194540532;99;0;;1,00;$;;;;;;;;798,35;3801,65;;;3801,65;0,00;0,00;0,00;798,35;4600,00
2025-10-01;6;8;131130;131130;75400232938781;99;0;;1,00;$;;;;;;;;1388,43;6611,57;;;6611,57;0,00;0,00;0,00;1388,43;8000,00
2025-10-01;6;8;131125;131125;75400229441755;99;0;;1,00;$;;;;;;;;3360,00;16000,00;;;16000,00;0,00;0,00;0,00;3360,00;19360,00
2025-10-01;6;8;131078;131078;75400187620447;99;0;;1,00;$;;;;;;;;3644,63;17355,37;;;17355,37;0,00;0,00;0,00;3644,63;21000,00
2025-10-01;6;8;131083;131083;75400191159371;99;0;;1,00;$;;;;;;;;4685,95;22314,05;;;22314,05;0,00;0,00;0,00;4685,95;27000,00
2025-10-01;6;8;131148;131148;75400243621626;99;0;;1,00;$;;;;;;142,53;1357,47;;;;;1357,47;0,00;0,00;0,00;142,53;1500,00
2025-10-01;6;8;131057;131057;75400170295325;99;0;;1,00;$;;;;;;;;1561,98;7438,02;;;7438,02;0,00;0,00;0,00;1561,98;9000,00
2025-10-01;6;8;131043;131043;75400152988376;99;0;;1,00;$;;;;;;;;694,21;3305,79;;;3305,79;0,00;0,00;0,00;694,21;4000,00
2025-10-01;6;8;131030;131030;75400129234472;99;0;;1,00;$;;;;;;;;867,77;4132,23;;;4132,23;0,00;0,00;0,00;867,77;5000,00
2025-10-01;6;8;131084;131084;75400191333755;99;0;;1,00;$;;;;;;;;624,79;2975,21;;;2975,21;0,00;0,00;0,00;624,79;3600,00
2025-10-01;6;8;131162;131162;75400254460315;99;0;;1,00;$;;;;;;;;8000,83;38099,17;;;38099,17;0,00;0,00;0,00;8000,83;46100,00
2025-10-01;6;8;131054;131054;75400166909987;99;0;;1,00;$;;;;;;;;937,19;4462,81;;;4462,81;0,00;0,00;0,00;937,19;5400,00
2025-10-01;6;8;131155;131155;75400247364831;99;0;;1,00;$;;;;;;;;867,77;4132,23;;;4132,23;0,00;0,00;0,00;867,77;5000,00
2025-10-01;6;8;131122;131122;75400226189201;99;0;;1,00;$;;;;;;;;173,55;826,45;;;826,45;0,00;0,00;0,00;173,55;1000,00
2025-10-01;6;8;131079;131079;75400187879542;99;0;;1,00;$;;;;;;;;5727,27;27272,73;;;27272,73;0,00;0,00;0,00;5727,27;33000,00
2025-10-01;6;8;131044;131044;75400153108534;99;0;;1,00;$;;;;;;;;694,21;3305,79;;;3305,79;0,00;0,00;0,00;694,21;4000,00
2025-10-01;6;8;131092;131092;75400201799803;99;0;;1,00;$;;;;;;;;2082,64;9917,36;;;9917,36;0,00;0,00;0,00;2082,64;12000,00
2025-10-01;6;8;131160;131160;75400251016637;99;0;;1,00;$;;;;;;;;3540,50;16859,50;;;16859,50;0,00;0,00;0,00;3540,50;20400,00
2025-10-01;6;8;131093;131093;75400201894232;99;0;;1,00;$;;;;;;;;1041,32;4958,68;;;4958,68;0,00;0,00;0,00;1041,32;6000,00
2025-10-01;6;8;131161;131161;75400251154825;99;0;;1,00;$;;;;;;;;780,99;3719,01;;;3719,01;0,00;0,00;0,00;780,99;4500,00
2025-10-01;6;8;131141;131141;75400240481664;99;0;;1,00;$;;;;;;;;1041,32;4958,68;;;4958,68;0,00;0,00;0,00;1041,32;6000,00
2025-10-01;6;8;131094;131094;75400201972142;99;0;;1,00;$;;;;;;;;6039,67;28760,33;;;28760,33;0,00;0,00;0,00;6039,67;34800,00
2025-10-01;6;8;131106;131106;75400212530609;99;0;;1,00;$;;;;;;;;3997,01;19033,39;;;19033,39;0,00;0,00;0,00;3997,01;23030,40
2025-10-01;6;8;131116;131116;75400222961123;99;0;;1,00;$;;;;;;;;1735,54;8264,46;;;8264,46;0,00;0,00;0,00;1735,54;10000,00
2025-10-01;6;8;131028;131028;75400126180106;99;0;;1,00;$;;;;;;;;1041,32;4958,68;;;4958,68;0,00;0,00;0,00;1041,32;6000,00
2025-10-01;6;8;131163;131163;75400254857689;99;0;;1,00;$;;;;;;;;4338,84;20661,16;;;20661,16;0,00;0,00;0,00;4338,84;25000,00
2025-10-01;6;8;131156;131156;75400247806712;99;0;;1,00;$;;;;;;57,01;542,99;;;;;542,99;0,00;0,00;0,00;57,01;600,00
2025-10-01;6;8;131142;131142;75400240775598;99;0;;1,00;$;;;;;;;;2082,64;9917,36;;;9917,36;0,00;0,00;0,00;2082,64;12000,00
2025-10-01;6;8;131068;131068;75400181296181;99;0;;1,00;$;;;;;;;;3904,96;18595,04;;;18595,04;0,00;0,00;0,00;3904,96;22500,00
2025-10-01;6;8;131037;131037;75400143196479;99;0;;1,00;$;;;;;;;;694,21;3305,79;;;3305,79;0,00;0,00;0,00;694,21;4000,00
2025-10-01;6;8;131031;131031;75400129826096;99;0;;1,00;$;;;;;;;;3262,81;15537,19;;;15537,19;0,00;0,00;0,00;3262,81;18800,00
2025-10-01;6;8;131131;131131;75400233773939;99;0;;1,00;$;;;;;;95,02;904,98;4564,46;21735,54;;;22640,52;0,00;0,00;0,00;4659,48;27300,00
2025-10-01;6;8;131066;131066;75400177943968;99;0;;1,00;$;;;;;;;;1561,98;7438,02;;;7438,02;0,00;0,00;0,00;1561,98;9000,00
2025-10-01;6;8;131085;131085;75400192002739;99;0;;1,00;$;;;;;;;;728,93;3471,07;;;3471,07;0,00;0,00;0,00;728,93;4200,00
2025-10-01;6;8;131112;131112;75400219804908;99;0;;1,00;$;;;;;;;;694,21;3305,79;;;3305,79;0,00;0,00;0,00;694,21;4000,00
2025-10-01;6;8;131046;131046;75400157178372;99;0;;1,00;$;;;;;;;;867,77;4132,23;;;4132,23;0,00;0,00;0,00;867,77;5000,00
2025-10-01;6;8;131149;131149;75400244559012;99;0;;1,00;$;;;;;;;;1735,54;8264,46;;;8264,46;0,00;0,00;0,00;1735,54;10000,00
2025-10-01;6;8;131090;131090;75400198448948;99;0;;1,00;$;;;;;;;;1561,98;7438,02;;;7438,02;0,00;0,00;0,00;1561,98;9000,00
2025-10-01;6;8;131080;131080;75400188544679;99;0;;1,00;$;;;;;;;;2082,64;9917,36;;;9917,36;0,00;0,00;0,00;2082,64;12000,00
2025-10-01;6;8;131051;131051;75400160672052;99;0;;1,00;$;;;;;;;;3818,18;18181,82;;;18181,82;0,00;0,00;0,00;3818,18;22000,00
2025-10-01;6;8;131067;131067;75400178207645;99;0;;1,00;$;;;;;;;;1561,98;7438,02;;;7438,02;0,00;0,00;0,00;1561,98;9000,00
2025-10-01;6;8;131150;131150;75400244750371;99;0;;1,00;$;;;;;;;;4338,84;20661,16;;;20661,16;0,00;0,00;0,00;4338,84;25000,00
2025-10-01;6;8;131039;131039;75400150554056;99;0;;1,00;$;;;;;;;;3089,26;14710,74;;;14710,74;0,00;0,00;0,00;3089,26;17800,00
2025-10-01;6;8;131047;131047;75400157463427;99;0;;1,00;$;;;;;;;;1128,10;5371,90;;;5371,90;0,00;0,00;0,00;1128,10;6500,00
2025-10-01;6;8;131091;131091;75400198716472;99;0;;1,00;$;;;;;;;;4373,55;20826,45;;;20826,45;0,00;0,00;0,00;4373,55;25200,00
2025-10-01;6;8;131071;131071;75400185318999;99;0;;1,00;$;;;;;;;;3644,63;17355,37;;;17355,37;0,00;0,00;0,00;3644,63;21000,00
